【整租】唐延路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29338171198013x.shtml
【整租】高新路 云顶园 1室0厅,云顶园,2200,http://xa.58.com/pinpaigongyu/29403579716536x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29193632685127x.shtml
【整租】唐延路 林凯花园 2室2厅,林凯花园,3800,http://xa.58.com/pinpaigongyu/29493579737653x.shtml
【整租】唐延路 嘉天Smart 2室1厅,嘉天Smart,3600,http://xa.58.com/pinpaigongyu/29492395024589x.shtml
【整租】高新路 高新水晶城 2室2厅,高新水晶城,4000,http://xa.58.com/pinpaigongyu/29458894292795x.shtml
【整租】唐延路 水晶岛 1室0厅,水晶岛,2500,http://xa.58.com/pinpaigongyu/29437365022511x.shtml
【合租】龙首村 宫园中央 3室主卧,宫园中央,599,http://xa.58.com/pinpaigongyu/29284321044777x.shtml
【整租】高新四路 城市皇冠 2室2厅,城市皇冠,3500,http://xa.58.com/pinpaigongyu/29493556882865x.shtml
【合租】张家堡 首创国际城 5室次卧,首创国际城,700,http://xa.58.com/pinpaigongyu/29376524418754x.shtml
【合租】明德门 明德广厦 3室次卧,明德广厦,700,http://xa.58.com/pinpaigongyu/29430087979697x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【合租】龙首村 名京九合院 3室次卧,名京九合院,800,http://xa.58.com/pinpaigongyu/29407959254856x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29382647434048x.shtml
【合租】雁翔路 金水湾 4室次卧,金水湾,780,http://xa.58.com/pinpaigongyu/29492895314503x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29416877091374x.shtml
【整租】唐延路 唐延鑫苑 2室1厅,唐延鑫苑,3200,http://xa.58.com/pinpaigongyu/29392117359307x.shtml
【合租】经济技术开发区 海荣阳光城 4室次卧,海荣阳光城,780,http://xa.58.com/pinpaigongyu/29494184297782x.shtml
【合租】电视塔 长丰园小区 5室次卧,长丰园小区,750,http://xa.58.com/pinpaigongyu/29491834621766x.shtml
【整租】高新四路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29515104782281x.shtml
【整租】唐延路 嘉天Smart 1室0厅,嘉天Smart,2600,http://xa.58.com/pinpaigongyu/29493607681323x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29193632685127x.shtml
【合租】张家堡 雅荷南李鑫苑 5室次卧,雅荷南李鑫苑,800,http://xa.58.com/pinpaigongyu/29384876384818x.shtml
【合租】凤城四路 紫薇风尚 5室次卧,紫薇风尚,800,http://xa.58.com/pinpaigongyu/29385150454211x.shtml
【整租】高新路 高新水晶城 1室0厅,高新水晶城,2900,http://xa.58.com/pinpaigongyu/29292618176194x.shtml
【整租】唐延路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29515117408813x.shtml
【整租】高新二路 新西蓝 2室2厅,新西蓝,3500,http://xa.58.com/pinpaigongyu/29418141909418x.shtml
【整租】唐延路 嘉天Smart 2室2厅,嘉天Smart,3600,http://xa.58.com/pinpaigongyu/29503394643530x.shtml
【合租】张家堡 汇通太古城 5室次卧,汇通太古城,550,http://xa.58.com/pinpaigongyu/29351058495679x.shtml
【合租】文景路 迎泽公寓 5室主卧,【合租】文景路,700,http://xa.58.com/pinpaigongyu/29448405003337x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【整租】长安路 大话南门 2室2厅,大话南门,2800,http://xa.58.com/pinpaigongyu/29384453921869x.shtml
【合租】明德门 榕青无界 4室主卧,榕青无界,1300,http://xa.58.com/pinpaigongyu/29393302089672x.shtml
【整租】电子正街 梦想城 2室1厅,梦想城,2236,http://xa.58.com/pinpaigongyu/29381831280443x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【合租】土门 公园国际 4室主卧,公园国际,1200,http://xa.58.com/pinpaigongyu/29514532373950x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1200,http://xa.58.com/pinpaigongyu/29381777101355x.shtml
【合租】电视塔 长丰园小区 4室次卧,长丰园小区,1100,http://xa.58.com/pinpaigongyu/29517248987949x.shtml
【合租】行政商务中心 亮丽家园 4室次卧,亮丽家园,700,http://xa.58.com/pinpaigongyu/29370625415871x.shtml
【整租】唐延路 唐沣国际 1室0厅,唐沣国际,2700,http://xa.58.com/pinpaigongyu/29314874595791x.shtml
【合租】龙首村 塞纳公馆 5室主卧,塞纳公馆,1200,http://xa.58.com/pinpaigongyu/29183885396559x.shtml
【合租】凤城四路 紫薇风尚 5室次卧,紫薇风尚,700,http://xa.58.com/pinpaigongyu/29105415452353x.shtml
【整租】唐延路 嘉天Smart 2室2厅,嘉天Smart,3600,http://xa.58.com/pinpaigongyu/29503394643530x.shtml
【整租】高新四路 高新大都荟 1室1厅,高新大都荟,2300,http://xa.58.com/pinpaigongyu/29183919135694x.shtml
【整租】高新二路 枫叶广场二期 2室2厅,枫叶广场二期,4500,http://xa.58.com/pinpaigongyu/29363285553091x.shtml
【合租】龙首村 塞纳公馆 4室次卧,塞纳公馆,700,http://xa.58.com/pinpaigongyu/29105615213134x.shtml
【整租】高新二路 新西蓝 2室2厅,新西蓝,3500,http://xa.58.com/pinpaigongyu/29493970859598x.shtml
【整租】高新路 高新水晶城 1室0厅,高新水晶城,2900,http://xa.58.com/pinpaigongyu/29414958261816x.shtml
【合租】张家堡 汇通太古城 5室次卧,汇通太古城,550,http://xa.58.com/pinpaigongyu/29376497200589x.shtml
【合租】曲江池 金水湾 4室次卧,金水湾,850,http://xa.58.com/pinpaigongyu/29242019200455x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【合租】土门 公园国际 4室主卧,公园国际,1200,http://xa.58.com/pinpaigongyu/29514532373950x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29271522649030x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1200,http://xa.58.com/pinpaigongyu/29381777101355x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【合租】电视塔 长丰园小区 4室次卧,长丰园小区,1100,http://xa.58.com/pinpaigongyu/29517248987949x.shtml
【合租】电子城 紫薇城市花园 4室主卧,紫薇城市花园,1000,http://xa.58.com/pinpaigongyu/29005426431285x.shtml
【合租】西安交通大学 学府首座 4室次卧,学府首座,750,http://xa.58.com/pinpaigongyu/29227362362929x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29517461512898x.shtml
【整租】高新四路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29373933447466x.shtml
【合租】龙首村 塞纳公馆 4室次卧,塞纳公馆,700,http://xa.58.com/pinpaigongyu/29105615213134x.shtml
【合租】经济技术开发区 明珠花园 5室次卧,明珠花园,700,http://xa.58.com/pinpaigongyu/29385206790209x.shtml
【整租】高新路 群贤道九号 1室1厅,群贤道九号,1800,http://xa.58.com/pinpaigongyu/29415741780813x.shtml
【整租】唐延路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29271817280169x.shtml
【整租】高新路 枫林绿洲 1室0厅,枫林绿洲,2200,http://xa.58.com/pinpaigongyu/29436882689982x.shtml
【合租】龙首村 塞纳公馆 4室次卧,塞纳公馆,700,http://xa.58.com/pinpaigongyu/29105616696777x.shtml
【整租】胡家庙 新兴 骏景园 1室1厅,新兴,1800,http://xa.58.com/pinpaigongyu/29105422369587x.shtml
【整租】唐延路 嘉天Smart 1室0厅,嘉天Smart,2600,http://xa.58.com/pinpaigongyu/29392448869422x.shtml
【整租】高新二路 新西蓝 2室2厅,新西蓝,3700,http://xa.58.com/pinpaigongyu/29418018166085x.shtml
【合租】明德门 鑫泰园小区 5室次卧,鑫泰园小区,700,http://xa.58.com/pinpaigongyu/29348762722231x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【合租】科技路西口 美立方 3室主卧,美立方,1200,http://xa.58.com/pinpaigongyu/29492190503341x.shtml
【合租】行政商务中心 曲江亮丽家园 4室次卧,曲江亮丽家园,800,http://xa.58.com/pinpaigongyu/29308200180806x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29381714936113x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1288,http://xa.58.com/pinpaigongyu/29385501936809x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29382462611270x.shtml
【合租】小雁塔 凯旋城 3室次卧,凯旋城,900,http://xa.58.com/pinpaigongyu/29274344309309x.shtml
【整租】大寨路 华府新桃园 2室2厅,华府新桃园,2600,http://xa.58.com/pinpaigongyu/29337328825901x.shtml
【整租】唐延路 林凯花园 2室2厅,林凯花园,4000,http://xa.58.com/pinpaigongyu/29414932009530x.shtml
【整租】高新路 高新水晶城 1室0厅,高新水晶城,2700,http://xa.58.com/pinpaigongyu/29448342339371x.shtml
【整租】二环南路 群贤道九号 1室0厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29315108372302x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,1800,http://xa.58.com/pinpaigongyu/29470307388494x.shtml
【整租】高新四路 群贤道九号 1室1厅,群贤道九号,1800,http://xa.58.com/pinpaigongyu/29206071043886x.shtml
【合租】二环南路 群贤道九号 4室次卧,群贤道九号,1000,http://xa.58.com/pinpaigongyu/29174853475905x.shtml
【整租】唐延路 林凯花园 2室2厅,林凯花园,3800,http://xa.58.com/pinpaigongyu/29496380735562x.shtml
【合租】经济技术开发区 中登城市花园 5室次卧,中登城市花园,550,http://xa.58.com/pinpaigongyu/29105724037692x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,1800,http://xa.58.com/pinpaigongyu/29438376954189x.shtml
【整租】唐延路 嘉天SMART 1室0厅,嘉天SMART,2800,http://xa.58.com/pinpaigongyu/29363294092607x.shtml
【合租】电子城 太白锦苑 4室次卧,太白锦苑,1000,http://xa.58.com/pinpaigongyu/29383682408873x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【合租】长延堡 杏园小区 4室次卧,杏园小区,850,http://xa.58.com/pinpaigongyu/29516434835384x.shtml
【合租】明德门 城南翡翠 4室次卧,城南翡翠,800,http://xa.58.com/pinpaigongyu/29373939776939x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29237992783545x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【整租】雅荷花园 凤城明珠 2室2厅,凤城明珠,2300,http://xa.58.com/pinpaigongyu/29348101223224x.shtml
【合租】明德门 雅兰花园 4室次卧,雅兰花园,1000,http://xa.58.com/pinpaigongyu/29384043637452x.shtml
【合租】电子城 万国花园 5室次卧,万国花园,600,http://xa.58.com/pinpaigongyu/29261390275889x.shtml
【合租】行政商务中心 曲江亮丽家园 4室主卧,曲江亮丽家园,1100,http://xa.58.com/pinpaigongyu/29328783757614x.shtml
【整租】雁塔周边 冠城国际 3室2厅,冠城国际,5000,http://xa.58.com/pinpaigongyu/29425384507198x.shtml
【整租】唐延路 莱安逸境 1室1厅,莱安逸境,2900,http://xa.58.com/pinpaigongyu/29414926128063x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29173627952061x.shtml
【合租】方新村 宫园中央 2室主卧,宫园中央,700,http://xa.58.com/pinpaigongyu/29031085976234x.shtml
【整租】高新路 高新水晶城 1室0厅,高新水晶城,2900,http://xa.58.com/pinpaigongyu/29418078883124x.shtml
【整租】唐延路 林凯花园 2室1厅,林凯花园,3900,http://xa.58.com/pinpaigongyu/29448319743688x.shtml
【合租】玉祥门 浩林方里 5室次卧,浩林方里,700,http://xa.58.com/pinpaigongyu/29107600746445x.shtml
【合租】方新村 宫园中央 3室主卧,宫园中央,599,http://xa.58.com/pinpaigongyu/29271746905160x.shtml
【整租】高新路 尚品花都 2室2厅,尚品花都,3800,http://xa.58.com/pinpaigongyu/29493590451405x.shtml
【整租】高新二路 枫叶广场二期 2室2厅,枫叶广场二期,4500,http://xa.58.com/pinpaigongyu/29303809415366x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1288,http://xa.58.com/pinpaigongyu/29295819159223x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1288,http://xa.58.com/pinpaigongyu/29382084513332x.shtml
【合租】电子城 万国花园 4室次卧,万国花园,600,http://xa.58.com/pinpaigongyu/29337259743793x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1396,http://xa.58.com/pinpaigongyu/29271522649030x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【合租】电视塔 长丰园 4室次卧,长丰园,600,http://xa.58.com/pinpaigongyu/29295206095278x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1288,http://xa.58.com/pinpaigongyu/29394028462636x.shtml
【合租】电子城 万国花园 4室次卧,万国花园,650,http://xa.58.com/pinpaigongyu/29503355453484x.shtml
【合租】电视塔 澳城大厦 4室主卧,澳城大厦,850,http://xa.58.com/pinpaigongyu/29392606524079x.shtml
【整租】高新路 尚品花都 2室2厅,尚品花都,3800,http://xa.58.com/pinpaigongyu/29493590451405x.shtml
【整租】高新二路 枫叶广场二期 2室2厅,枫叶广场二期,4500,http://xa.58.com/pinpaigongyu/29303809415366x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29173845945012x.shtml
【整租】高新四路 城市皇冠 2室2厅,城市皇冠,3500,http://xa.58.com/pinpaigongyu/29418065394509x.shtml
【整租】高新四路 城市皇冠 2室2厅,城市皇冠,3500,http://xa.58.com/pinpaigongyu/29425372536625x.shtml
【合租】方新村 宫园中央 3室次卧,宫园中央,580,http://xa.58.com/pinpaigongyu/29127826785983x.shtml
【整租】玉祥门 恒天国际城(大庆 1室0厅,恒天国际城(大庆,2300,http://xa.58.com/pinpaigongyu/29349366870595x.shtml
【整租】高新路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29515040738733x.shtml
【整租】唐延路 群贤道九号 1室1厅,群贤道九号,1900,http://xa.58.com/pinpaigongyu/29414716760012x.shtml
【整租】唐延路 林凯花园 2室2厅,林凯花园,4100,http://xa.58.com/pinpaigongyu/29363370230187x.shtml
【合租】曲江池 金水湾 4室次卧,金水湾,850,http://xa.58.com/pinpaigongyu/29242019200455x.shtml
【整租】青稞公寓 边家村 泰华-青稞公寓,边家村,1600-1800,http://xa.58.com/pinpaigongyu/29459806610124x.shtml
【合租】明德门 明德广厦 3室次卧,明德广厦,700,http://xa.58.com/pinpaigongyu/29251798158796x.shtml
【合租】西安交通大学 学府首座 4室次卧,学府首座,750,http://xa.58.com/pinpaigongyu/29227362362929x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1200,http://xa.58.com/pinpaigongyu/29194521595075x.shtml
【整租】青稞公寓 电子正街 青稞·极速公寓,电子正街,1288-1396,http://xa.58.com/pinpaigongyu/29306279436077x.shtml
【整租】电子正街 梦想城 1室0厅,梦想城,1288,http://xa.58.com/pinpaigongyu/29239894244416x.shtml
【合租】行政商务中心 亮丽家园 4室次卧,亮丽家园,700,http://xa.58.com/pinpaigongyu/29414928558509x.shtml
【合租】曲江池 金水湾 4室次卧,金水湾,780,http://xa.58.com/pinpaigongyu/29493086865079x.shtml
【合租】电子城 万国花园 4室次卧,万国花园,700,http://xa.58.com/pinpaigongyu/29514364058549x.shtml
【整租】二环南路 群贤道九号 1室1厅,群贤道九号,2000,http://xa.58.com/pinpaigongyu/29173655309377x.shtml
【整租】高新路 高新水晶城 2室1厅,高新水晶城,2700,http://xa.58.com/pinpaigongyu/29493195397941x.shtml
【整租】龙首村 皇族名居 2室1厅,皇族名居,2000,http://xa.58.com/pinpaigongyu/29116278356551x.shtml
【整租】高新二路 新西蓝 2室2厅,新西蓝,3500,http://xa.58.com/pinpaigongyu/29392911816369x.shtml
【整租】唐延路 唐沣国际 1室0厅,唐沣国际,2700,http://xa.58.com/pinpaigongyu/29304491820752x.shtml
【整租】高新四路 城市皇冠 2室2厅,城市皇冠,3700,http://xa.58.com/pinpaigongyu/29414791293244x.shtml
